lead_id,seller_id,company_name,seller_category,service_name,seller_health_score,match_score
L104259,64000625,Kapadia-Balan,Leather,Maximiser Pro,92,87
L104260,64000851,Sinha and Sons,Agriculture,Mini Dynamic Catalog (Annual),21,77
L104261,64000381,"Kadakia, Malhotra and Ramaswamy",Machinery,Free,83,77
L104262,64000550,Goyal and Sons,Electronics,Maximiser Pro,33,87
L104263,64000496,"Chadha, Loke and Edwin",Garments,Free,81,71
L104264,64000664,Bains-Yohannan,Furniture,Mini Dynamic Catalog (Monthly),16,75
L104265,64000431,Lad LLC,Electronics,IM Star Pro,50,82
L104266,64000533,Balan-Thaker,Garments,Trustseal Pro,68,70
L104267,64000205,Khanna PLC,Electronics,Free,82,72
L104268,64000744,Kibe-Dayal,Chemicals,IM Star Pro,81,90
L104269,64000973,"Khare, Gola and Bhatnagar",Packaging,Free,25,76
L104270,64000038,Sha-Sheth,Electronics,Maximiser Pro,88,93
L104271,64000195,Kannan PLC,Electronics,Free,76,80
L104272,64000410,Dass Inc,Electronics,Trustseal Pro,30,93
L104273,64000107,Ganesan-Suresh,Packaging,IM IL,83,92
L104274,64000881,"Acharya, Bedi and Varma",Leather,Mini Dynamic Catalog (Annual),94,72
L104275,64000468,"Malhotra, Singhal and Chahal",Packaging,Trustseal Pro,90,75
L104276,64000990,Sani Ltd,Leather,Maximiser Pro,68,94
L104277,64000143,"Ranganathan, Wadhwa and Krishnan",Garments,IM IL,84,81
L104278,64000102,Dasgupta Group,Garments,IM IL,82,89
L104279,64000508,Boase Group,Garments,Free,82,85
L104280,64000802,"Venkataraman, Tara and Mann",Chemicals,Mini Dynamic Catalog (Annual),41,75
L104281,64000486,Das Inc,Machinery,Trustseal Pro,42,98
L104282,64000074,Chaudhry-Bhavsar,Leather,IM Leader Pro,93,72
L104283,64000293,Andra and Sons,Agriculture,IM Leader Pro,33,98
L104284,64000302,"Dixit, Srivastava and Choudhry",Electronics,Mini Dynamic Catalog (Monthly),15,78
L104285,64000659,Lanka PLC,Garments,Trustseal Pro,43,71
L104286,64000940,Keer Inc,Leather,IM Star Pro,23,75
L104287,64000988,"Sahota, Dewan and Bassi",Electronics,Mini Dynamic Catalog (Annual),91,84
L104288,64000490,"Goda, Magar and Ben",Chemicals,Mini Dynamic Catalog (Annual),71,71
L104289,64000646,Swamy Group,Furniture,Free,43,96
L104290,64000015,"Kothari, Bail and Bhatti",Leather,IM Leader Pro,66,91
L104291,64000694,Vala-Dutt,Chemicals,Free,27,93
L104292,64000543,Johal Ltd,Chemicals,Trustseal Pro,88,77
L104293,64000929,"Datta, Garg and Dey",Furniture,Mini Dynamic Catalog (Monthly),42,76
L104294,64000470,"Tripathi, Chowdhury and Sampath",Packaging,Maximiser Pro,92,95
L104295,64000632,Khurana-Sagar,Furniture,IM Leader Pro,32,99
L104296,64000697,Arya-Mani,Electronics,IM Leader Pro,34,81
L104297,64000010,Chawla Ltd,Agriculture,Free,74,71
L104298,64000998,Deshpande-Raja,Machinery,Mini Dynamic Catalog (Monthly),82,88
L104299,64000349,Wable-Rama,Packaging,Mini Dynamic Catalog (Monthly),42,94
L104300,64000145,Raj PLC,Machinery,IM IL,30,85
L104301,64000825,Srinivas LLC,Chemicals,Free,80,71
L104302,64000249,Gulati-Wable,Agriculture,Free,92,85
L104303,64000604,Dua-Kohli,Electronics,Trustseal Pro,92,71
L104304,64000646,Swamy Group,Furniture,Free,43,74
L104305,64000966,"Thaker, Goda and Iyengar",Chemicals,Trustseal Pro,83,87
L104306,64000330,"Varty, Virk and Desai",Garments,IM Star Pro,45,75
L104307,64000799,"Loyal, Char and Sarna",Machinery,IM Leader Pro,80,71
L104308,64000344,Dua LLC,Leather,Mini Dynamic Catalog (Monthly),37,81
L104309,64000862,"Suresh, Chakraborty and Kapadia",Furniture,Maximiser Pro,56,78
L104310,64000091,Kala Group,Packaging,IM Star Pro,68,73
L104311,64000056,"Vaidya, Badami and Sanghvi",Garments,Trustseal Pro,26,90
L104312,64000879,Devi LLC,Garments,Mini Dynamic Catalog (Annual),35,75
L104313,64000338,"Bera, Ahluwalia and Kuruvilla",Electronics,IM Star Pro,38,96
L104314,64000645,Chaudry Inc,Packaging,IM Leader Pro,32,83
L104315,64000084,Vyas-Rao,Electronics,Mini Dynamic Catalog (Monthly),87,96
L104316,64000199,"Arya, Deshpande and Goswami",Packaging,Trustseal Pro,69,83
L104317,64000908,Karan LLC,Electronics,Trustseal Pro,43,79
L104318,64000274,Sami-Rao,Furniture,Maximiser Pro,50,95
L104319,64000909,Gulati-Raju,Furniture,IM Star Pro,92,85
L104320,64000837,Dhawan-Gour,Leather,IM Star Pro,21,83
L104321,64000879,Devi LLC,Garments,Mini Dynamic Catalog (Annual),35,84
L104322,64000840,Mangal-Chaudry,Chemicals,Trustseal Pro,25,71
L104323,64000342,"Uppal, Soman and Shankar",Electronics,Free,72,84
L104324,64000704,"Mall, Grewal and Majumdar",Garments,Free,77,75
L104325,64000257,Dube Inc,Furniture,Mini Dynamic Catalog (Annual),91,93
L104326,64000351,"Jain, Saran and Krishnamurthy",Leather,Trustseal Pro,30,82
L104327,64000241,Bail-Sarna,Leather,Free,77,91
L104328,64000153,Seshadri-Gera,Chemicals,Free,70,86
L104329,64000630,Mand-Suresh,Chemicals,IM IL,41,87
L104330,64000115,"Bal, Dada and Desai",Electronics,Free,93,95
L104331,64000924,"Tara, Issac and Chowdhury",Machinery,Trustseal Pro,88,95
L104332,64000566,Sandhu-Comar,Garments,Mini Dynamic Catalog (Monthly),30,75
L104333,64000399,Thaman-Shere,Leather,IM Star Pro,40,70
L104334,64000142,Halder-Agate,Electronics,Maximiser Pro,55,96
L104335,64000416,Bail Ltd,Electronics,IM Leader Pro,87,94
L104336,64000123,"Subramanian, Shah and Loke",Machinery,Free,71,83
L104337,64000527,Dar-Kibe,Machinery,Mini Dynamic Catalog (Annual),86,71
L104338,64000754,"Chawla, Joshi and Seth",Packaging,Trustseal Pro,64,91
L104339,64000486,Das Inc,Machinery,Trustseal Pro,42,90
L104340,64000888,"Lad, Loyal and Gulati",Furniture,Free,72,88
L104341,64000076,"Virk, Andra and Mani",Electronics,Free,69,76
L104342,64000374,Lad LLC,Furniture,Mini Dynamic Catalog (Monthly),48,81
L104343,64000528,"Khanna, Vohra and Lad",Agriculture,Mini Dynamic Catalog (Annual),22,73
L104344,64000550,Goyal and Sons,Electronics,Maximiser Pro,33,75
L104345,64000215,Kumar-Chadha,Packaging,IM Leader Pro,91,78
L104346,64000905,Lala Inc,Machinery,IM IL,81,98
L104347,64000720,"Singh, Ratta and Rau",Leather,Mini Dynamic Catalog (Monthly),97,84
L104348,64000311,Sule-Sha,Garments,Free,46,94
L104349,64000954,"Bava, Tandon and Baria",Electronics,Mini Dynamic Catalog (Monthly),83,71
L104350,64000175,Vora-Wason,Furniture,Free,90,91
L104351,64000212,Karnik PLC,Furniture,IM Leader Pro,44,72
L104352,64000575,"Sabharwal, Varghese and Sen",Chemicals,IM Star Pro,90,83
L104353,64000129,Sehgal PLC,Packaging,Mini Dynamic Catalog (Annual),57,78
L104354,64000046,Hans-Rajan,Machinery,IM Leader Pro,84,87
L104355,64000434,De-Arora,Machinery,Maximiser Pro,53,83
L104356,64000649,Dhillon and Sons,Electronics,Free,90,77
L104357,64000475,Subramanian LLC,Chemicals,Mini Dynamic Catalog (Monthly),32,76
L104358,64000668,Dixit-Garg,Chemicals,IM Leader Pro,94,74
L104359,64000031,Desai-Jha,Leather,Free,80,81
L104360,64000358,Zacharia-De,Chemicals,Mini Dynamic Catalog (Monthly),85,93
L104361,64000722,"Rana, Bir and Walla",Machinery,Maximiser Pro,85,79
L104362,64000566,Sandhu-Comar,Garments,Mini Dynamic Catalog (Monthly),30,74
L104363,64000147,Sundaram-Joshi,Machinery,Free,23,77
L104364,64000428,"Roy, Kunda and Hegde",Machinery,Free,81,77
L104365,64000100,"Sibal, Malhotra and Sharma",Chemicals,Free,89,94
L104366,64000220,Walia-Hans,Leather,IM IL,88,97
L104367,64000622,"Virk, Dara and Seth",Packaging,IM IL,87,84
L104368,64000811,"Sarkar, Andra and Sarkar",Electronics,Mini Dynamic Catalog (Annual),90,97
L104369,64000622,"Virk, Dara and Seth",Packaging,IM IL,87,77
L104370,64000668,Dixit-Garg,Chemicals,IM Leader Pro,94,88
L104371,64000651,Rattan Inc,Chemicals,Maximiser Pro,78,93
L104372,64000333,"Shankar, Krishna and Master",Chemicals,Mini Dynamic Catalog (Monthly),64,73
L104373,64000989,Cherian-Mander,Electronics,Mini Dynamic Catalog (Monthly),46,97
L104374,64000955,Wali and Sons,Leather,Mini Dynamic Catalog (Annual),82,95
L104375,64000528,"Khanna, Vohra and Lad",Agriculture,Mini Dynamic Catalog (Annual),22,78
L104376,64000784,Swaminathan-Sankaran,Agriculture,Maximiser Pro,61,97
L104377,64000514,"Lall, Kaul and Saran",Leather,Trustseal Pro,86,85
L104378,64000037,Dubey-Apte,Machinery,Mini Dynamic Catalog (Annual),91,87
L104379,64000495,Yogi Ltd,Packaging,Free,83,80
L104380,64000635,Sem and Sons,Chemicals,Free,77,80
L104381,64000999,Comar LLC,Chemicals,Free,82,80
L104382,64000181,Sarin-Madan,Agriculture,Mini Dynamic Catalog (Monthly),93,70
L104383,64000874,"Sheth, Baral and Badami",Furniture,Trustseal Pro,34,78
L104384,64000980,"Sundaram, Khalsa and Khare",Garments,IM Star Pro,58,92
L104385,64000052,Sarraf-Bali,Chemicals,Mini Dynamic Catalog (Monthly),93,95
L104386,64000066,Barad-Keer,Machinery,IM Leader Pro,92,94
L104387,64000778,"Deshmukh, Khatri and Ahuja",Agriculture,IM Star Pro,86,96
L104388,64000065,"Kannan, Sur and Kota",Electronics,IM IL,43,82
L104389,64000965,"Dey, Guha and Arya",Agriculture,Mini Dynamic Catalog (Monthly),53,84
L104390,64000830,Gandhi-Butala,Garments,Maximiser Pro,27,95
L104391,64000419,Bala-Mandal,Machinery,Trustseal Pro,26,70
L104392,64000018,"Sama, Gulati and Ray",Furniture,Free,90,99
L104393,64000340,Chander Group,Electronics,IM Leader Pro,26,79
L104394,64000553,"Behl, Doshi and Barad",Garments,Mini Dynamic Catalog (Annual),41,86
L104395,64000702,Ahuja-Mallick,Chemicals,Free,47,89
L104396,64000692,Dara PLC,Leather,Free,79,72
L104397,64000200,Chaudhary-Sama,Garments,Mini Dynamic Catalog (Monthly),62,70
L104398,64000915,Borra-Brahmbhatt,Packaging,Maximiser Pro,40,74
L104399,64000123,"Subramanian, Shah and Loke",Machinery,Free,71,89
L104400,64000644,"Kara, Cheema and Shah",Garments,IM Star Pro,85,83
L104401,64000495,Yogi Ltd,Packaging,Free,83,98
L104402,64000499,Kadakia-Rastogi,Furniture,Free,81,72
L104403,64000497,Ghose Ltd,Agriculture,Mini Dynamic Catalog (Annual),23,94
L104404,64000940,Keer Inc,Leather,IM Star Pro,23,77
L104405,64000304,"Sant, Mander and Kaur",Garments,Free,82,83
L104406,64000146,"Raval, Chakrabarti and Handa",Machinery,IM IL,41,98
L104407,64000554,"Sahota, Brahmbhatt and Chhabra",Chemicals,Mini Dynamic Catalog (Monthly),26,95
L104408,64000967,"Saha, Mammen and Rastogi",Electronics,Mini Dynamic Catalog (Annual),71,72
L104409,64000422,Saran Inc,Electronics,Free,47,73
L104410,64000049,"Balasubramanian, Kade and Grewal",Electronics,Free,82,99
L104411,64000654,Chauhan-Sachdev,Garments,Free,82,71
L104412,64000652,Bains LLC,Chemicals,Mini Dynamic Catalog (Annual),50,89
L104413,64000299,Dasgupta Inc,Agriculture,IM Leader Pro,89,77
L104414,64000528,"Khanna, Vohra and Lad",Agriculture,Mini Dynamic Catalog (Annual),22,93
L104415,64000670,Kari-Bhagat,Leather,IM Star Pro,20,88
L104416,64000617,Kurian-Saran,Furniture,IM Leader Pro,17,97
L104417,64000514,"Lall, Kaul and Saran",Leather,Trustseal Pro,86,83
L104418,64000486,Das Inc,Machinery,Trustseal Pro,42,97
L104419,64000057,Yogi Ltd,Packaging,IM IL,70,75
L104420,64000351,"Jain, Saran and Krishnamurthy",Leather,Trustseal Pro,30,98
L104421,64000630,Mand-Suresh,Chemicals,IM IL,41,76
L104422,64000323,Madan-Bhargava,Agriculture,Free,84,85
L104423,64000436,Kari Ltd,Electronics,Mini Dynamic Catalog (Monthly),18,80
L104424,64000953,"Kale, Saha and Dhillon",Chemicals,IM Star Pro,36,91
L104425,64000494,Chhabra-Mammen,Furniture,Free,37,74
L104426,64000596,Dara LLC,Garments,Free,82,98
L104427,64000719,Devi PLC,Leather,IM Leader Pro,67,72
L104428,64000262,"Bhalla, Rattan and Bumb",Machinery,Free,75,99
L104429,64000702,Ahuja-Mallick,Chemicals,Free,47,71
L104430,64000734,"Kota, Kothari and Yohannan",Garments,Free,69,72
L104431,64000241,Bail-Sarna,Leather,Free,77,81
L104432,64000399,Thaman-Shere,Leather,IM Star Pro,40,76
L104433,64000359,Lall Inc,Furniture,IM IL,31,93
L104434,64000898,Srinivas-Bahl,Agriculture,Mini Dynamic Catalog (Monthly),56,80
L104435,64000067,Lad-Venkatesh,Garments,IM Leader Pro,89,72
L104436,64000183,Khanna-Jayaraman,Leather,Mini Dynamic Catalog (Annual),62,98
L104437,64000328,Dugar-Walia,Packaging,Free,86,90
L104438,64000005,Luthra-Chandra,Packaging,IM IL,93,88
L104439,64000549,Bansal Inc,Garments,IM IL,75,85
L104440,64000617,Kurian-Saran,Furniture,IM Leader Pro,17,97
L104441,64000231,"Chad, Wali and Bava",Packaging,Trustseal Pro,25,74
L104442,64000496,"Chadha, Loke and Edwin",Garments,Free,81,89
L104443,64000199,"Arya, Deshpande and Goswami",Packaging,Trustseal Pro,69,95
L104444,64000589,Dewan Group,Garments,Free,90,88
L104445,64000677,Lanka-Chhabra,Agriculture,Maximiser Pro,83,92
L104446,64000066,Barad-Keer,Machinery,IM Leader Pro,92,75
L104447,64000859,Rege-Loyal,Leather,IM Star Pro,91,85
L104448,64000530,Dalal-Goel,Leather,Free,68,88
L104449,64000127,Tiwari Inc,Leather,Free,93,88
L104450,64000167,Shah Inc,Electronics,Trustseal Pro,85,94
L104451,64000912,Agate LLC,Furniture,Maximiser Pro,32,79
L104452,64000281,"Taneja, Saraf and Raval",Electronics,Trustseal Pro,36,79
L104453,64000777,"Gopal, Grewal and Mani",Electronics,Trustseal Pro,47,95
L104454,64000003,Kannan-Mannan,Garments,IM Star Pro,65,89
L104455,64000665,"Sridhar, Bhatnagar and Dada",Packaging,IM IL,20,70
L104456,64000852,Singh and Sons,Agriculture,Free,74,79
L104457,64000771,"Khosla, Sarkar and Uppal",Garments,IM IL,30,82
L104458,64000353,Kothari-Loyal,Garments,Free,82,71
L104459,64000795,Sahni-Bath,Leather,IM Leader Pro,25,81
L104460,64000988,"Sahota, Dewan and Bassi",Electronics,Mini Dynamic Catalog (Annual),91,74
L104461,64000788,Chakraborty Group,Furniture,IM IL,16,85
L104462,64000403,"Sharaf, Loyal and Ganesh",Furniture,Free,75,97
L104463,64000018,"Sama, Gulati and Ray",Furniture,Free,90,97
L104464,64000162,Golla-Sridhar,Leather,Maximiser Pro,86,83
L104465,64000074,Chaudhry-Bhavsar,Leather,IM Leader Pro,93,97
L104466,64000896,Chanda-Dyal,Packaging,Free,88,86
L104467,64000443,Ravel-Chopra,Furniture,Mini Dynamic Catalog (Monthly),40,91
L104468,64000272,Dugal Ltd,Chemicals,Mini Dynamic Catalog (Annual),85,84
L104469,64000200,Chaudhary-Sama,Garments,Mini Dynamic Catalog (Monthly),62,97
L104470,64000501,"Varkey, Devi and Gokhale",Machinery,IM IL,93,94
L104471,64000379,Sem LLC,Packaging,Mini Dynamic Catalog (Monthly),82,75
L104472,64000581,Dua-Ramachandran,Agriculture,Free,90,95
L104473,64000947,Cheema-Gill,Machinery,Maximiser Pro,91,81
L104474,64000449,Rajan-Sahota,Garments,IM Leader Pro,55,73
L104475,64000037,Dubey-Apte,Machinery,Mini Dynamic Catalog (Annual),91,90
L104476,64000058,Gill-Badami,Packaging,Free,40,72
L104477,64000693,"Walla, Devi and Saxena",Leather,Trustseal Pro,71,97
L104478,64000699,Saini Ltd,Garments,Maximiser Pro,53,71
L104479,64000187,Bhasin-Jayaraman,Electronics,Mini Dynamic Catalog (Monthly),20,81
L104480,64000988,"Sahota, Dewan and Bassi",Electronics,Mini Dynamic Catalog (Annual),91,93
L104481,64000680,Guha Ltd,Furniture,IM Leader Pro,60,98
L104482,64000629,"Suri, Raja and Soni",Leather,Mini Dynamic Catalog (Annual),18,80
L104483,64000864,Sama-Garde,Chemicals,Maximiser Pro,60,74
L104484,64000260,"Kade, Barad and Deo",Furniture,Free,80,90
L104485,64000927,"Konda, Sankar and Gara",Furniture,Trustseal Pro,58,88
L104486,64000813,Madan-Dash,Garments,IM IL,83,83
L104487,64000208,Ramaswamy-Suresh,Furniture,Trustseal Pro,25,89
L104488,64000333,"Shankar, Krishna and Master",Chemicals,Mini Dynamic Catalog (Monthly),64,75
L104489,64000530,Dalal-Goel,Leather,Free,68,75
L104490,64000491,Gaba and Sons,Machinery,IM IL,27,89
L104491,64000035,"De, Kapadia and Hari",Chemicals,IM Star Pro,43,75
L104492,64000769,"Dara, Brahmbhatt and Jani",Agriculture,IM IL,88,70
L104493,64000215,Kumar-Chadha,Packaging,IM Leader Pro,91,79
L104494,64000534,Tak Inc,Packaging,Maximiser Pro,86,75
L104495,64000701,Vig-Dash,Packaging,Mini Dynamic Catalog (Annual),37,75
L104496,64000372,Vora LLC,Agriculture,IM IL,94,98
L104497,64000252,"Kumar, Hayer and Mangal",Garments,Maximiser Pro,52,74
L104498,64000861,Gulati-Raju,Packaging,Mini Dynamic Catalog (Monthly),91,98
L104499,64000287,Saha Ltd,Garments,Trustseal Pro,49,98
L104500,64000161,Thaker-Doctor,Chemicals,Mini Dynamic Catalog (Annual),93,71
L104501,64000549,Bansal Inc,Garments,IM IL,75,85
L104502,64000848,Saraf Ltd,Packaging,Mini Dynamic Catalog (Annual),90,83
L104503,64000059,Bhalla-Dube,Garments,Trustseal Pro,91,83
L104504,64000072,Lad-Ramanathan,Machinery,Free,85,82
L104505,64000018,"Sama, Gulati and Ray",Furniture,Free,90,95
L104506,64000641,"Karan, Iyengar and Toor",Agriculture,IM Leader Pro,42,70
L104507,64000902,Hegde-Sachar,Chemicals,Mini Dynamic Catalog (Monthly),81,93
L104508,64000241,Bail-Sarna,Leather,Free,77,81
L104509,64000467,Ganesh Group,Chemicals,IM Leader Pro,22,72
L104510,64000739,Garg-Bhatti,Packaging,IM Star Pro,41,75
L104511,64000570,"Verma, Dutt and Chander",Electronics,Free,85,83
L104512,64000462,"Bumb, Lad and Bhardwaj",Garments,Free,51,78
L104513,64000132,Chawla Group,Agriculture,Free,83,75
L104514,64000470,"Tripathi, Chowdhury and Sampath",Packaging,Maximiser Pro,92,93
L104515,64000087,Mallick-Sanghvi,Garments,Free,84,76
L104516,64000899,Deep-Borah,Chemicals,IM IL,92,85
L104517,64000974,"Roy, Sodhi and Comar",Agriculture,Free,78,82
L104518,64000836,Khurana LLC,Electronics,Mini Dynamic Catalog (Monthly),73,75
L104519,64000607,"Edwin, Viswanathan and Krishnan",Chemicals,Mini Dynamic Catalog (Monthly),24,84
L104520,64000386,Jayaraman Group,Leather,Mini Dynamic Catalog (Annual),26,74
L104521,64000216,"Krishnan, Khalsa and Dani",Agriculture,Free,77,78
L104522,64000168,Sood-Gade,Machinery,Free,79,81
L104523,64000192,Mani-Madan,Agriculture,Mini Dynamic Catalog (Monthly),97,87
L104524,64000548,Sidhu LLC,Electronics,IM Leader Pro,43,85
L104525,64000512,Dugal-Kurian,Furniture,Mini Dynamic Catalog (Monthly),82,71
L104526,64000295,Deol-Swaminathan,Leather,Trustseal Pro,51,86
L104527,64000079,"Deol, Chakrabarti and Sarkar",Machinery,Mini Dynamic Catalog (Monthly),90,95
L104528,64000624,Master-Lanka,Furniture,IM Leader Pro,96,73
L104529,64000900,Tailor-Kibe,Machinery,IM Star Pro,87,79
L104530,64000844,Wason and Sons,Garments,IM Star Pro,64,87
L104531,64000835,"Sheth, Varughese and Mangal",Garments,Free,32,97
L104532,64000015,"Kothari, Bail and Bhatti",Leather,IM Leader Pro,66,82
L104533,64000019,Doshi-Garde,Garments,Free,79,93
L104534,64000809,"Lad, Dara and Randhawa",Leather,Free,76,97
L104535,64000219,"Baria, Badal and Wason",Agriculture,Trustseal Pro,16,86
L104536,64000480,"Dugal, Krishnamurthy and Gole",Furniture,Mini Dynamic Catalog (Annual),21,86
L104537,64000704,"Mall, Grewal and Majumdar",Garments,Free,77,92
L104538,64000118,Mangal LLC,Electronics,IM IL,59,89
L104539,64000107,Ganesan-Suresh,Packaging,IM IL,83,72
L104540,64000665,"Sridhar, Bhatnagar and Dada",Packaging,IM IL,20,71
L104541,64000924,"Tara, Issac and Chowdhury",Machinery,Trustseal Pro,88,80
L104542,64000592,Bhardwaj-Sastry,Leather,Free,68,78
L104543,64000706,Roy-Choudhry,Garments,Trustseal Pro,50,73
L104544,64000224,Shetty LLC,Chemicals,IM Star Pro,74,92
L104545,64000819,Chandran-Goyal,Leather,Free,86,96
L104546,64000475,Subramanian LLC,Chemicals,Mini Dynamic Catalog (Monthly),32,88
L104547,64000961,Madan-Sethi,Electronics,Free,33,83
L104548,64000072,Lad-Ramanathan,Machinery,Free,85,76
L104549,64000684,Hora-Madan,Machinery,Free,87,85
L104550,64000705,"Bir, Anand and Johal",Electronics,Trustseal Pro,83,80
L104551,64000194,"Uppal, Ganesan and Bassi",Machinery,Free,73,78
L104552,64000917,Sangha Ltd,Packaging,IM IL,96,92
L104553,64000009,"Deol, Ramaswamy and Sarin",Chemicals,Maximiser Pro,27,95
L104554,64000577,Brahmbhatt-Dora,Leather,IM IL,43,76
L104555,64000852,Singh and Sons,Agriculture,Free,74,87
L104556,64000205,Khanna PLC,Electronics,Free,82,73
L104557,64000468,"Malhotra, Singhal and Chahal",Packaging,Trustseal Pro,90,76
L104558,64000280,Tata Ltd,Machinery,IM Star Pro,84,72
L104559,64000310,Sarna-Wali,Packaging,Trustseal Pro,19,71
L104560,64000085,"Bandi, Rattan and Choudhry",Garments,Mini Dynamic Catalog (Monthly),15,93
L104561,64000402,Dubey PLC,Garments,Free,84,84
L104562,64000005,Luthra-Chandra,Packaging,IM IL,93,84
L104563,64000850,"Tata, Sidhu and Bal",Chemicals,IM Star Pro,25,98
L104564,64000923,Vaidya Inc,Agriculture,IM Star Pro,96,81
L104565,64000315,Barad-Bhalla,Machinery,IM IL,21,76
L104566,64000433,"Halder, Arora and Batta",Machinery,IM Leader Pro,82,83
L104567,64000340,Chander Group,Electronics,IM Leader Pro,26,81
L104568,64000313,Cherian and Sons,Leather,Trustseal Pro,39,98
L104569,64000830,Gandhi-Butala,Garments,Maximiser Pro,27,96
L104570,64000839,Thakkar-Savant,Packaging,IM IL,72,79
L104571,64000082,Dua-Wali,Leather,Free,90,96
L104572,64000641,"Karan, Iyengar and Toor",Agriculture,IM Leader Pro,42,72
L104573,64000738,Biswas Inc,Machinery,IM IL,92,99
L104574,64000426,"Seth, Shanker and Gopal",Furniture,IM Leader Pro,81,93
L104575,64000546,Khalsa-Iyengar,Packaging,IM IL,88,99
L104576,64000219,"Baria, Badal and Wason",Agriculture,Trustseal Pro,16,90
L104577,64000015,"Kothari, Bail and Bhatti",Leather,IM Leader Pro,66,96
L104578,64000543,Johal Ltd,Chemicals,Trustseal Pro,88,94
L104579,64000971,"Sengupta, Kamdar and Brar",Agriculture,IM IL,45,96
L104580,64000576,"Chaudhuri, Gill and Kata",Packaging,IM Leader Pro,23,94
L104581,64000093,"Vaidya, Jayaraman and Bhargava",Machinery,Trustseal Pro,37,84
L104582,64000130,Shan-Contractor,Packaging,Mini Dynamic Catalog (Monthly),93,83
L104583,64000177,"Ben, Devi and Saxena",Furniture,IM IL,85,82
L104584,64000911,Dar-Sawhney,Furniture,Mini Dynamic Catalog (Annual),16,89
L104585,64000361,Datta Inc,Leather,IM Leader Pro,49,87
L104586,64000232,"Ravel, Bora and Ramachandran",Furniture,Maximiser Pro,83,98
L104587,64000640,Chand-Khalsa,Leather,IM Star Pro,43,91
L104588,64000285,Das Group,Leather,IM Star Pro,78,84
L104589,64000284,"Kari, Bains and Sen",Furniture,IM IL,48,85
L104590,64000674,Wali and Sons,Leather,Maximiser Pro,20,94
L104591,64000349,Wable-Rama,Packaging,Mini Dynamic Catalog (Monthly),42,77
L104592,64000733,Char-Gour,Garments,Free,73,88
L104593,64000798,Sarraf Group,Leather,Free,86,76
L104594,64000984,"Venkataraman, Toor and Sood",Electronics,IM Star Pro,78,78
L104595,64000883,Swaminathan PLC,Chemicals,Mini Dynamic Catalog (Monthly),83,84
L104596,64000348,"Kumar, Kibe and Kant",Chemicals,Trustseal Pro,23,94
L104597,64000065,"Kannan, Sur and Kota",Electronics,IM IL,43,80
L104598,64000281,"Taneja, Saraf and Raval",Electronics,Trustseal Pro,36,78
L104599,64000853,"Solanki, Setty and Chanda",Garments,Mini Dynamic Catalog (Annual),92,97
L104600,64000530,Dalal-Goel,Leather,Free,68,92
L104601,64000274,Sami-Rao,Furniture,Maximiser Pro,50,91
L104602,64000617,Kurian-Saran,Furniture,IM Leader Pro,17,97
L104603,64000089,Varty-Ahuja,Leather,IM IL,79,98
L104604,64000051,Saini and Sons,Electronics,IM IL,62,80
L104605,64000671,Badal Inc,Leather,Free,57,91
L104606,64000950,Savant Inc,Electronics,IM Leader Pro,24,84
L104607,64000046,Hans-Rajan,Machinery,IM Leader Pro,84,77
L104608,64000031,Desai-Jha,Leather,Free,80,87
L104609,64000865,Bhardwaj Group,Packaging,Free,71,81
L104610,64000178,Dass-Ranganathan,Leather,IM Star Pro,90,98
L104611,64000888,"Lad, Loyal and Gulati",Furniture,Free,72,89
L104612,64000040,Mander-Chaudhry,Machinery,Mini Dynamic Catalog (Monthly),84,76
L104613,64000431,Lad LLC,Electronics,IM Star Pro,50,96
L104614,64000816,"Raval, Buch and Kant",Leather,IM IL,84,73
L104615,64000423,"Grover, Som and Bala",Chemicals,Free,34,97
L104616,64000751,"Barad, Borra and Ramaswamy",Garments,Free,26,73
L104617,64000357,"Rana, Kapur and Ramesh",Packaging,Free,90,73
L104618,64000952,Mandal Group,Electronics,Free,88,70
L104619,64000832,Sama LLC,Packaging,IM Leader Pro,94,99
L104620,64000377,Chauhan PLC,Agriculture,IM Star Pro,85,72
L104621,64000896,Chanda-Dyal,Packaging,Free,88,85
L104622,64000646,Swamy Group,Furniture,Free,43,91
L104623,64000616,Baral and Sons,Garments,Mini Dynamic Catalog (Monthly),88,75
L104624,64000870,Lal-Vala,Packaging,IM Star Pro,21,91
L104625,64000496,"Chadha, Loke and Edwin",Garments,Free,81,86
L104626,64000770,Sama Ltd,Leather,Free,50,94
L104627,64000703,Shukla-Chada,Agriculture,Mini Dynamic Catalog (Annual),26,90
L104628,64000886,Dixit-Chacko,Agriculture,Mini Dynamic Catalog (Monthly),29,94
L104629,64000229,Kari LLC,Electronics,Mini Dynamic Catalog (Annual),86,89
L104630,64000714,Edwin-Karnik,Agriculture,Trustseal Pro,89,72
L104631,64000938,Gulati and Sons,Electronics,IM Leader Pro,88,84
L104632,64000784,Swaminathan-Sankaran,Agriculture,Maximiser Pro,61,75
L104633,64000835,"Sheth, Varughese and Mangal",Garments,Free,32,80
L104634,64000924,"Tara, Issac and Chowdhury",Machinery,Trustseal Pro,88,91
L104635,64000857,"Wali, Jaggi and Sarkar",Electronics,Mini Dynamic Catalog (Monthly),18,99
L104636,64000422,Saran Inc,Electronics,Free,47,95
L104637,64000003,Kannan-Mannan,Garments,IM Star Pro,65,79
